Latella Ardizzone
Diaz Granados
Durán González
González Salas
Martinez Cardenas
Porras Pocaterra
Franco Mero
Gabanzo Garcia
Márquez Hernández
Chaparro Salazar
Canedo Rodriguez
Perez Feo
Segura Martinez
Castellanos Alfonzo
Goldberg Urdaneta
Quero Hernández
Rodríguez Rodríguez
Acosta Diaz
García Pérez
Lovera Alvarado
Marcano Marquez
Suárez Gorrín
Becerra Gil
Vivas Véliz
Salas Gonzalez
Flejan Tovar
Moncada Quintero
Marrero Vejar
Cisneros Corro
Tavano Rangel
Castro Rangel
Grimaldi Fernandez
Quintero Villalobos
Rodriguez Sanchez
Bandes
Rivero Mujica
Velazquez Infante
Medina Salas
Marval Zambrano
Francis Zambrano
Bander Moreno
Becker Vivas
Bracuto Delgado
Morante Martínez
Rodriguez Bonilla
Acosta Arteta
Farrach Alvarez
Licet Garcia
Robayo Paz
Vera López
Vethencourt
Villegas Martinez
Peña
Silvestre
